transid,transsurv,plotsurv,paddock,plot,obs,hbee,nbee,hover,date,sx,fx,sy,fy,loc,pair,inf,rankinf,dupl,temp,windspeed,winddir,cloudc,disttoedgecalc,disttoedgemeasured,w100,w200,w300,w400,w500,w600,w700,w800,w900,w1000,w1500,w2000,c100,c200,c300,c400,c500,c1000,c1500,area,perimeter,gyration,paratio,shape,fractaldimention,circumscircle,contiguity,links100,links200,links300,links400,links500,links1000,links1500,links2000,windspeed2
G2H9,205,106,6,G29,Steve,0,1,6,5,655952,655953,6191145,6191129,edge,O,3.75,3,0,22,4,NNW,100,31.05,31,1519,3935,5497,7804,10782,NA,NA,NA,NA,35630,95151,192600,23293,75010,131942,198168,256404,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,3,1161,4919,6.9
G2H10,206,107,6,G210,Steve,1,4,22,5,655889,655872,6191036,6191038,edge,I,6.5,3,0,21,4,NW,100,37.4,37,918,3790,5440,6781,10158,NA,NA,NA,NA,31298,87251,184000,23009,66221,117190,183037,259125,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,3,1158,5038,6.9
G2H11,207,108,6,G211,Steve,1,4,8,5,655714,655692,6191040,6191047,edge,O,8,3,0,21,4,N,100,15.13,15,132,968,2921,6580,8207,NA,NA,NA,NA,25431,83309,197100,18722,68877,150243,238726,312908,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,0,917,5983,6.9
G2S2,208,99,6,G22,Barbara,4,1,4,5,655544,655565,6191438,6191439,150,O,9.75,3.701807229,0,21,3,NNE,100,135.29,135,35,267,668,2091,5850,NA,NA,NA,NA,36859,94374,213200,31415,108857,182926,267483,316186,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,639,1956,5357,4.5
G2S3,209,100,6,G23,Barbara,5,3,7,5,655568,655587,6191528,6191528,edge,O,13,4,0,22,2.5,N,100,43.67,44,12,460,654,821,7276,NA,NA,NA,NA,43498,97512,213800,24154,77480,142482,221596,299288,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,639,1997,5545,3.5
G2S4,210,101,6,G24,Barbara,1,7,51,5,655734,655754,6191377,6191361,150,I,5.75,3.25,0,21,2,N,100,172.15,172,0,17,1544,5841,10897,NA,NA,NA,NA,29842,96063,192900,31415,121827,230009,315049,336593,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,560,1222,4425,2.5
G2S5,211,102,6,G25,Barbara,2,0,4,5,655762,655779,6191467,6191468,edge,I,0,2.25,0,23,2.5,N,100,70.01,70,0,0,2403,5946,10887,NA,NA,NA,NA,36174,98785,195300,28462,90252,172825,260975,323272,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,639,1764,4384,3.5
G2S6,212,103,6,G26,Barbara,3,0,3,5,655970,655963,6191480,6191455,edge,O,5,2,0,23,2,N,95,28.16,28,1724,2954,4800,7459,11250,NA,NA,NA,NA,39527,109460,185400,17334,50768,100187,167253,251762,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,640,1460,4018,2.5
G2S7,213,104,6,G27,Barbara,0,0,2,5,655967,655963,6191359,6191339,edge,I,3.25,2.25,0,22,2.5,N,100,40.8,41,601,2852,5401,7802,10459,NA,NA,NA,NA,38111,104970,185400,23425,72152,135651,211525,269397,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,323,1363,4768,3.5
G2S8,214,105,6,G28,Barbara,1,9,10,5,655958,655955,6191236,6191214,edge,O,10.5,2.75,0,23,3,N,100,32.43,32,1016,3056,6176,7676,10684,NA,NA,NA,NA,35648,99192,187600,22218,79320,155359,213883,268938,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,3,1160,4910,4.5
G2S9,215,106,6,G29,Barbara,0,13,4,5,655928,655925,6191153,6191136,edge,I,15.75,3,0,22,4,NNW,100,54.34,54,1069,3828,5559,7712,10734,NA,NA,NA,NA,34507,95138,191300,27220,84306,145067,212780,270788,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,3,1160,4889,6.9
G2S10,216,107,6,G210,Barbara,5,8,4,5,655886,655866,6191011,6191014,edge,O,25,3,0,21,4,NW,100,12.9,13,665,3601,5438,6728,10200,NA,NA,NA,NA,30824,86012,183600,18281,59681,108361,172013,249779,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,3,1158,5161,6.9
G2S11,217,108,6,G211,Barbara,3,5,7,5,655728,655705,6191072,6191078,edge,I,9,3,0,21,4,N,100,48,48,84,870,3249,6617,8519,NA,NA,NA,NA,25801,83978,198400,24926,81847,167539,257324,323997,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,1,918,5428,6.9
